                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
"Angular Accel. (x,y,z)",,,"Linear Accel. (x,y,z)",,,"Angular Velocity (Gyro) (x,y,z)",,,"Linear Velocity (x,y,z)",,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
7.65659,-1.68099,0.375385,-0.39436,-0.406693,-0.0500079,0.067022,-0.539617,-2.8891,0.0796382,-0.019845,-0.0257132,4.68375,8.1537,19.001
-10.3322,1.80466,8.18894,-0.778937,-0.123239,0.292061,0.0583211,-0.306812,-2.73187,0.014788,-0.0718856,-0.00516562,-1.45634,10.7197,-14.6855
-9.21081,5.25315,10.6591,0.487217,-0.323739,-0.0235877,-0.189899,-0.18504,-2.40677,-0.0181226,-0.19766,0.00334142,-4.22177,8.46971,-46.6102
-1.58725,0.713918,9.64548,-0.0157597,0.422186,-0.145317,0.185049,-0.204613,-0.807427,-0.000160471,-0.119598,0.0407998,-4.25172,6.26078,-65.6772
11.2198,-0.327582,12.6657,0.384054,0.570077,0.0235393,0.273763,0.180496,1.34798,0.0171957,0.0440497,0.00234138,-5.74073,6.34024,-62.8192
-1.74337,-5.10479,7.64111,-0.259071,-0.258282,0.0235249,0.349324,0.435218,2.35162,-0.023324,0.101232,0.00571029,-8.50397,13.8213,-38.9229
9.79981,-3.07162,-1.02315,-0.0411426,-0.249166,0.176046,-0.163836,0.210279,1.8189,-0.0536826,0.0361632,0.019864,-4.27804,13.5936,-12.2761
-0.956099,2.07616,-7.89501,0.440308,-0.0598031,-0.182522,-0.0768769,0.164036,0.786708,-0.036374,-0.0384086,0.0144659,-1.72368,12.931,2.94106
-0.738149,3.08056,0.579148,0.143496,0.502512,-1.06769,-0.0400305,0.114649,-0.216817,0.0150882,0.0111901,-0.119073,-0.598601,12.1023,3.82988
2.24142,-1.3867,5.36965,0.165632,0.152184,-0.758194,0.0524898,0.296491,0.241823,0.00457353,0.00129205,-0.3328,1.21335,13.3,4.92482
-6.04688,4.0417,-1.9295,0.160741,-0.113664,0.275091,0.00385029,-0.00968179,-0.131097,0.0253636,-0.0170014,-0.330624,1.64682,13.7435,6.94331
-6.40301,0.877331,-3.3528,0.0446585,0.148531,1.06901,-0.16222,-0.0776099,-0.349876,0.00501422,0.00288703,-0.210357,0.838994,12.8198,3.64335
-4.44735,7.28599,-0.705938,0.127772,-0.379726,1.34442,0.145641,-0.00330734,-0.220108,-0.00898645,0.0322849,0.0943542,-0.393592,12.2677,-0.353636
4.506,4.40285,1.85356,0.907789,-0.174118,1.16686,-0.52818,-0.488198,0.418144,0.0386288,-0.0656793,0.416086,-2.12536,9.86502,1.20168
2.32334,-1.49989,-0.973332,-0.206059,0.618799,0.497399,0.143629,0.25596,0.000957768,-0.00309869,0.0132278,0.518682,-2.83629,8.78427,2.4091
0.0175444,3.41834,-6.82106,0.125841,-0.590114,-1.02813,-0.451504,-0.0576547,0.227349,0.00813091,-0.0949492,0.412441,-1.28339,7.69549,1.76261
-2.70061,-4.31763,-1.5474,0.11662,0.90582,-1.60667,-0.130496,-0.0221263,-0.0665512,-0.00893635,-0.035228,0.216786,-1.56733,4.59556,2.07413
-6.13535,5.16473,0.941705,0.214926,-0.782224,-1.2257,0.0291655,0.0612464,0.0602616,0.00570179,0.0156862,-0.0262789,-1.81441,5.29097,2.35441
-7.94328,6.14733,0.225854,-0.436786,-0.16077,-0.592922,0.179266,0.189568,-0.131302,0.0182886,-0.00332619,-0.297405,-0.631645,5.48845,3.00632
1.32394,7.04795,-1.58525,-0.403419,-0.0251466,-0.00524747,0.188249,-0.198138,-0.00147816,8.73E-05,-0.00469379,-0.342205,-1.3897,6.30878,1.92809
-8.63787,-1.16997,-6.88104,0.143555,-0.301512,0.273462,-0.00235494,0.258893,0.0456042,-0.00792421,0.00300627,-0.28609,0.191179,7.56853,2.96269
2.88464,-0.950166,4.00414,0.050464,0.462526,1.61489,0.0563105,0.121249,0.0866488,-0.0141913,0.0329077,-0.00830028,1.92416,7.15432,3.37498
2.39878,7.21201,-0.739722,2.1323,-0.181857,-0.0303941,0.263319,0.0130986,-0.0773315,0.235695,0.0330949,0.0971518,2.03639,9.19595,3.54893
-2.48763,-3.44565,3.53544,0.321101,-0.425605,-0.163371,0.0247175,0.0539935,-0.0106155,0.4929,-0.00220697,0.0756927,4.08486,11.434,0.773994
-3.06269,2.90548,-5.87967,-1.04778,-0.158027,0.146758,-0.140707,-0.350479,-0.354435,0.445465,-0.0580451,0.0339994,2.20935,9.34113,0.282633
2.33147,-3.43859,1.2109,-2.00859,0.380958,-0.52221,0.0726068,-0.133099,0.1321,0.0698363,-0.0157373,0.0942964,1.02831,8.58967,-2.41771
-8.1595,3.22399,-3.10197,-2.06666,0.0511904,-0.0142227,-0.0274786,-0.232506,-0.0374281,-0.314352,0.0235776,-0.00832549,-1.941,8.29105,-1.50512
-3.8591,-1.82643,3.3561,-1.48198,-0.0182618,0.216932,0.247406,-0.0650648,0.52738,-0.567593,0.0517683,-0.0195649,-3.83164,10.8409,0.321703
1.16636,-0.464065,-11.1214,0.727894,0.12667,0.163083,0.0938999,-0.0344836,0.392802,-0.613241,0.0399451,0.0398742,-3.86869,11.1314,6.44033
-0.0034995,1.94786,-6.84538,0.470609,-0.449424,0.196499,0.0684544,0.347282,-0.0598069,-0.498381,-0.0238325,0.0251295,-2.67993,11.0103,7.58214
3.247,6.19809,2.43227,2.40037,0.687746,-0.333719,-0.246419,0.165581,-0.0135328,-0.164948,-0.0281623,-0.0179968,-1.13715,10.5004,5.66726
-2.02309,-0.364428,3.89372,1.99305,0.347229,-0.13701,-0.0816716,0.0835822,-0.0522682,0.268958,-0.0103219,-0.0588115,0.797373,9.25281,6.43647
0.287442,-4.71429,1.62091,0.53128,-0.181788,0.05602,-0.0274489,-0.031041,-0.355715,0.491252,-0.0108909,-0.0568857,0.819422,9.41491,3.88809
-1.85884,7.56111,7.94058,-2.18926,-0.231626,0.191942,-0.170121,0.0763785,0.0513398,0.307775,-0.0576901,-0.0129641,2.88867,7.91493,2.73811
0.507993,-3.34247,1.43452,-0.929351,0.899194,-0.0484384,0.0401208,-0.0432682,0.0669582,0.00155364,0.029727,-0.00426111,1.85855,6.20211,3.56335
3.54827,2.0278,3.83358,0.192463,2.27434,-0.0122905,-0.0333281,0.111147,0.0495753,-0.059945,0.367621,-0.0150141,2.75814,6.56041,5.5387
-2.86147,3.94039,-3.30863,0.11742,-0.748926,0.295023,0.381137,-0.0338044,-0.26657,-0.020751,0.559869,0.0097998,3.12719,9.24454,3.84526
-3.75406,-3.11765,-1.40631,0.123676,-2.26367,-0.137064,0.13798,-0.193923,-0.152387,-0.0218158,0.291068,0.0496273,1.97811,11.3682,1.7373
-4.48523,1.02788,-1.66427,-0.104223,-1.62258,-0.428803,0.00396032,-0.0377313,0.141162,0.00742441,-0.0995949,-0.0216908,1.21479,12.8395,2.23125
8.32503,2.76748,-5.05824,-0.0467478,-0.90184,0.491403,0.135675,-0.0592843,-0.241193,0.0151876,-0.444672,-0.015216,-0.440634,12.7375,1.54762
