                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Angular Acceleration,,,Linear Acceleration,,,Angular Velocity (Gyro),,,Linear Velocity,,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
0.395078,-4.95866,9.4385,-0.744239,0.612898,5.04842,-1.30722,4.98773,0.230212,-1.63704,0.14324,0.156873,34.742,4.93155,-21.4777
11.8778,-39.999,14.651,5.47864,-0.64171,-2.7212,-0.516491,4.2288,-0.238528,-0.64901,0.0996808,0.707142,96.4999,6.04111,-14.6139
5.9057,-10.9563,2.57057,1.9124,-0.686777,-2.12339,0.12995,-1.17598,-0.354692,-0.0680576,-0.0966661,-0.235633,106.139,6.40497,-16.7467
25.344,-21.6351,3.09316,4.52932,1.78161,-3.02126,-1.35186,-5.17843,-1.22846,0.405149,-0.332318,-0.747276,78.114,-11.5534,-22.2043
56.6881,48.5062,-1.52779,-3.63457,12.068,12.4718,5.8697,-1.85265,1.37392,0.692671,1.38265,0.138053,18.0583,-12.6935,0.224911
-72.0943,5.90586,-19.2289,-0.882629,-4.26364,-9.24834,2.87026,-1.22667,0.55318,0.330797,1.23894,0.466591,21.5648,64.4101,9.09597
-67.6321,14.0886,-1.86771,-2.93183,-14.7143,-4.88766,-4.22952,-0.702421,-0.110281,0.119371,-0.476197,-0.495715,1.32094,52.6337,-7.53346
26.8282,8.9679,-11.9469,1.38702,-1.5519,4.14646,-7.99977,-0.628903,-0.576964,0.0605179,-2.53336,-0.0431489,6.64704,-36.7113,-9.81114
49.1364,-6.09993,1.79574,4.36554,4.86303,-27.5995,-0.260943,-0.348275,0.321773,0.105017,-1.20611,-0.092112,142.751,-83.2142,-143.711
-3.45855,25.2656,1.25977,-2.65422,9.5089,2.53075,5.51037,-0.079209,0.282746,-0.0183856,0.926694,-0.657394,-0.38105,-40.7184,3.46847
-37.4352,2.11369,0.313036,0.783985,-8.47799,4.646,6.88695,-0.263784,-0.0791699,-0.103265,2.20926,1.14204,3.57853,36.4982,1.90642
-42.2654,-3.6822,12.9079,0.0628933,-0.911405,-5.5499,1.43524,0.221074,-0.552923,0.0214608,1.13436,0.654474,4.2041,85.9193,-4.65116
-4.14614,-26.5636,-6.57449,1.85587,-17.0976,2.60312,-9.07948,-1.272,-0.209131,-0.0769364,-0.529135,-0.956864,3.48169,25.8225,-6.4053
0.902927,5.90356,-2.87558,0.0864189,-3.31156,3.88714,-3.55049,-0.496181,-0.0848648,-0.0557453,-2.02774,-0.214701,1.95289,-45.5692,-8.35889
46.5629,4.66012,3.92674,2.73487,7.27428,-4.11738,0.459186,-0.198009,0.357914,0.099931,-1.45055,0.0656526,-9.34389,-73.6606,4.09987
-50.1876,17.7284,-57.5864,1.84653,11.0654,1.6041,3.04192,-2.42948,0.906344,0.2731,0.717759,-0.206522,-14.9051,-21.9156,29.6644
2.51295,-23.0004,-1.44914,4.45043,-3.30021,4.00588,4.96468,1.37444,-3.12328,-0.141662,1.61344,0.447479,3.33949,17.9057,9.24818
-16.5404,-27.0839,-6.87819,0.822287,-11.7821,-3.00701,1.58243,-5.71861,-5.47583,0.776044,-0.212551,0.281206,-34.3038,31.2826,-63.9332
21.064,24.9326,73.9906,2.64498,4.54292,1.67204,-1.16473,-1.81961,0.49368,0.459069,-0.66107,-0.102421,-28.0269,-14.6319,-101.809
6.98836,25.5528,51.8336,-8.13388,3.74109,-2.0991,1.93766,1.70372,9.88928,0.0803037,0.402486,-0.0187214,-33.3386,-6.1171,-23.8311
21.4478,-18.7329,-46.7841,-1.64877,-5.1206,2.8646,1.46263,2.75822,6.61695,-1.46158,-0.248796,-0.221394,-7.257,-11.9701,79.1236
12.081,-18.4928,-60.19,0.800593,5.83397,2.04265,2.84533,-0.551749,-0.472026,-1.29719,-0.316227,0.155664,9.84766,-28.3307,116.078
-30.1662,29.4754,15.0349,7.76495,-4.25141,0.339185,1.66204,-1.813,-8.9081,-0.131516,0.403816,-0.0128803,35.9652,-10.0552,30.0955
-10.6868,-20.5585,19.358,-2.34084,-4.1009,2.93929,3.3461,-4.12375,-7.31852,1.1702,-0.375371,0.115468,-0.528282,-11.7838,-65.0059
13.4975,28.0566,38.724,2.28954,4.5209,1.35357,0.466403,0.136339,-1.08774,1.03683,-0.328491,0.153217,-16.7549,-31.5371,-115.138
-19.5683,-23.8508,6.21081,-8.85882,0.0890173,0.877631,1.603,1.82012,8.51996,0.553248,0.702004,0.142588,-41.9777,-14.0577,-42.2101
-4.60063,-2.97104,2.28488,-5.76609,-9.4531,0.628263,2.08039,4.23275,7.25803,-1.29258,0.120135,-0.200884,-11.3392,0.52163,44.9666
32.5463,-32.6118,-51.0497,2.38919,1.2114,2.6575,2.9995,1.31809,3.57895,-1.28907,-0.811039,0.178894,22.8636,-30.2742,107.165
-46.4072,14.7729,-12.1526,5.34352,-2.45262,-2.64608,1.12402,0.053072,-9.25914,-0.439324,-0.107853,-0.116695,62.5035,-32.7048,35.1658
13.8271,-39.344,31.3853,7.08547,-0.0977548,-5.19976,0.442126,-1.68371,-3.77164,0.703831,-0.123535,-0.272637,64.5695,-31.626,-50.6525
32.7274,26.3587,0.902766,-0.409535,8.29714,4.65678,2.27826,-2.78956,0.647954,1.15478,0.488896,-0.243722,-1.78098,-41.6443,-20.1901
-103.985,-42.0806,10.5971,4.3835,-6.64612,-6.70273,2.61361,-3.25892,2.98137,0.39264,0.484949,0.778204,-41.0064,37.602,-0.383601
-19.9699,54.0129,5.04631,-10.0794,-4.38214,-1.16436,-6.87904,5.79988,-1.99888,0.0293976,-0.686853,-0.621034,-40.7009,-1.88158,-2.12364
18.0687,-44.6242,-36.3037,7.1917,-1.33859,6.5449,0.811295,8.53649,2.06941,-0.948621,0.0726295,0.386287,70.0687,-6.46443,-30.6848
60.1758,-32.8894,29.3788,4.51414,9.39925,6.02101,3.12188,-11.1707,0.187038,0.875907,0.283472,-0.328008,40.8736,-21.5515,-28.753
-50.0704,10.9636,-17.0887,7.71815,-1.74461,0.364888,-0.524501,-4.24808,4.22519,-0.307618,0.0263585,-0.00951271,-62.1091,22.8613,28.7557
33.914,15.4775,-29.1061,-1.87611,2.40613,-0.122048,0.56493,6.53701,-6.08117,0.194573,0.259793,0.0935032,-57.3651,11.9269,26.1425
-149.347,-29.2907,13.7453,2.65688,-6.87046,-10.6747,5.63754,1.2658,-2.67997,-0.176697,0.250158,0.443182,-4.13003,60.8267,-7.84158
-23.0528,-16.0797,2.83749,1.56147,-10.9553,7.43696,-10.7447,-0.772252,-0.535197,-0.177015,-1.26124,-0.517834,1.84492,3.24069,-8.90656
156.385,-5.64004,30.8248,0.239419,2.97625,-9.17061,-1.38957,-0.359511,-0.425022,0.0777303,-0.10349,0.106217,155.914,-67.8601,-162.586
-62.5887,-10.3122,0.909126,1.56879,-10.8513,7.70757,10.7769,0.344212,1.68895,0.0443205,0.938407,0.164955,1.51817,0.432841,-1.57971
-17.9623,53.8861,-25.8494,-8.66686,-3.21083,8.92259,-4.70235,6.1211,-4.68,-0.758743,-0.372817,-0.26408,19.2318,8.32903,-1.76734
0.814904,-75.0944,-6.00602,3.58832,-0.0767596,-7.25153,0.198275,2.25954,-0.324351,-0.137401,0.0296346,0.151382,100.288,1.70515,-29.3178
-7.19075,-23.354,17.9238,-2.48637,0.231558,7.2688,2.37687,-11.0303,3.4856,0.725076,0.224901,-0.257213,27.3373,-13.1575,-8.37477
59.8988,60.5818,17.8183,-4.69434,2.53628,1.19045,3.42772,0.0213741,4.90003,-0.170582,0.270675,-0.124298,-41.9427,1.68922,38.7017
10.2605,1.28922,-88.8504,-1.9664,1.78763,-1.27777,2.48127,1.98772,4.05217,-0.210464,-0.392133,0.138007,-10.2578,-5.69091,115.329
-13.511,-7.29525,-20.2019,3.2788,-9.81384,-0.439328,0.266326,-2.85256,-11.584,0.486457,0.27008,0.144079,0.650475,3.73025,44.5545
9.17733,7.01199,44.933,-3.02049,7.23945,-3.33521,-1.10288,-3.67615,-7.74395,0.181172,-0.809473,0.204216,-30.6575,-12.2261,-88.5212
19.7325,-11.3735,67.6769,-3.97075,2.85897,1.46111,2.63335,2.70718,7.24436,0.435985,0.612148,0.162174,-23.4982,0.679009,-97.2891
-4.08754,-21.5355,-65.7066,-0.0840122,-3.95461,1.94144,-1.40738,2.3601,5.24807,-0.38606,-0.126914,-0.171649,-5.14095,9.72726,0.693872
-30.542,7.99817,19.4405,1.26826,0.220608,-7.27732,1.73529,-0.206111,-1.2364,-0.0795593,-0.0852251,0.351061,1.3883,15.8339,-0.596086
-17.0316,3.90776,0.623021,0.420377,-2.11079,0.475457,-1.78784,-0.527417,0.311098,-0.0537004,-0.064144,-0.689689,0.665234,11.0895,-1.89852
17.7032,-28.715,-13.5183,1.4212,-0.436116,4.86117,-0.680329,-1.55825,-2.09734,0.138834,-0.23047,-0.141851,-0.872643,-5.77666,-9.89656
11.1209,10.3464,48.2843,0.46407,2.46442,-0.267218,0.356073,0.721743,2.13442,-0.0231431,-0.0224026,0.19928,-8.8867,-9.42688,-28.2825
0.666395,9.75638,-40.9664,-0.162561,1.26886,2.52662,-0.34218,0.41537,0.806373,-0.085123,-0.333561,0.268181,0.782568,-3.74984,3.79405
-30.0499,-9.21657,10.3884,0.496871,2.22322,-11.2373,0.944332,-0.00183386,-0.160037,0.027873,0.379742,-0.133813,3.69311,6.84134,-2.34402
57.8315,15.3692,4.89824,-2.59584,5.47324,22.0444,-2.69294,-0.409899,0.177165,0.0406089,-0.15219,-0.678554,0.339591,-10.8843,-1.57339
-38.9959,31.1241,40.2634,-4.40213,-4.04987,-17.1323,3.40823,-0.0123119,0.378787,0.167477,-0.23185,1.61838,3.50368,20.0032,-1.03803
-72.0914,-10.3125,1.12549,2.67792,-12.8523,1.39949,-3.58871,-0.131365,0.473256,-0.0401481,-0.197885,-1.82789,1.80676,6.06715,2.56549
-8.39894,3.98775,1.57242,-0.234222,-9.03555,4.3133,4.16811,-0.416395,-0.451063,0.0508141,0.134354,1.75036,-1.55725,2.11319,-0.267874
4.33688,-5.11609,3.82311,-0.61002,-1.14303,-11.5141,-1.70813,0.117272,0.484528,0.00417198,0.168111,-1.49896,-1.5472,8.4571,-1.50399
56.2021,10.9997,-6.0541,0.827815,-0.706225,14.813,4.06964,-0.637944,-0.259946,0.071056,0.565112,1.41039,-2.40711,-6.20067,1.22719
102.428,11.9772,24.5576,-1.59526,8.62034,-4.5677,-2.99666,-0.553536,0.426108,0.0252471,-0.137465,-0.913908,-2.18841,10.7633,-2.73423
79.5304,-3.88224,-3.89884,-0.235803,14.2023,26.8162,0.0651375,0.438051,-0.346821,-0.0591457,0.081441,0.297685,0.921213,-13.2604,-1.1576
-219.537,19.6922,-15.7657,-1.77226,-1.65201,-31.9947,1.44338,0.184004,-0.638132,0.00915216,-0.0504845,0.539235,-2.64847,21.3105,-2.63425
